variant,id,turnover,etv
Control,7518737,3.78,1.9364999830722809
Target,4445400,0.0,0.0
Control,5055110,114.0,20.36520028114319
Target,3714610,25.0,7.789200067520142
Control,5220701,0.0,0.0
Target,8024864,0.0,0.0
Target,511506,0.0,0.0
Target,2913299,0.0,0.0
Control,1329338,100.0,7.521999835968018
Target,3110824,0.0,0.0
Control,7088084,0.0,0.0
Control,3999246,0.0,0.0
Control,1587042,92.48,4.203999921679497
Control,2241694,25.0002,-12.853000164031982
Target,2311091,50.0,6.395400136709213
Control,1046124,120.88,-29.338599756360058
Control,5085648,138.0,3.5392997469753027
Target,7412091,0.0,0.0
Control,1710973,977.5,88.7606000751257
Control,1755115,129.2366,12.863299983553588
Target,2231211,0.0,0.0
Control,5391950,0.0,0.0
Target,3796884,219.25,-0.1026995480060577
Target,895839,105.8,14.250100135803224
Target,4771873,0.0,0.0
Control,5459026,5.0,1.2493000030517578
Control,5314885,120.92,14.851600147783756
Control,5354061,50.0,3.05810010433197
Target,5007874,5.02,0.7954000234603882
Control,799026,85.2107,12.54700001142919
Control,3263763,159.0498,19.46960012242198
Target,7543979,712.5,85.49390017986298
Target,3809841,109.9999,27.046400547027588
Target,5366342,0.0,0.0
Control,7201838,588.44,57.86680030822754
Control,2708333,0.0,0.0
Control,1841419,26.0706,9.479999721050262
Control,4304151,0.0,0.0
Target,1200856,353.0,32.983800172805786
Control,8408732,628.7,15.990899663418531
Control,5264232,229.7498,-10.983600318431854
Control,1086585,0.0,0.0
Target,3166801,0.0,0.0
Control,5218910,192.72,20.23790073394775
Control,999283,78.94,7.600300133228302
Target,6898902,0.0,0.0
Target,4515142,4.9998,0.5931000113487244
Control,4357870,0.0,0.0
Control,4134882,0.0,0.0
Control,2773952,0.0,0.0
Target,3353789,0.0,0.0
Control,2186956,10.0002,1.7417999505996704
Target,3807653,0.0,0.0
Control,5386945,0.0,0.0
Target,2443473,80.0004,8.992200016975403
Target,8730212,0.0,0.0
Target,3941910,0.0,0.0
Control,5009915,25.84,6.050900012254715
Target,4442295,0.0,0.0
Target,4547762,0.0,0.0
Target,4969526,0.0,0.0
Target,4640535,0.0,0.0
Control,154294,328.33,24.776900305005256
Target,5030033,28.0,2.2375999689102173
Target,7591349,2570.33,308.55069998651743
Control,2572910,145.0,12.109499633312224
Control,4535737,20.15,1.42330002784729
Control,5237938,88.6503,17.475000262260437
Control,5226399,0.0,0.0
Target,2789013,0.0,0.0
Target,3974395,0.0,0.0
Target,5501309,40.0,6.609900116920471
Control,5391598,677.0,114.09230101108552
Control,4532839,0.0,0.0
Control,532849,256.6666,44.836599707603455
Control,7047494,30.0,1.4485000018030405
Target,4916093,25.0,3.0253000408411026
Target,279736,0.0,0.0
Target,5345930,0.0,0.0
Control,7572910,50.0,0.0
Control,5357866,0.0,0.0
Control,5435894,0.0,0.0
Target,1775598,50.0001,17.649499893188477
Control,2179459,220.0,25.902299106121063
Control,8469020,0.0,0.0
Control,4157341,0.0,0.0
Target,2180229,101.5002,-0.2813990116119385
Target,6421151,0.0,0.0
Target,5013645,59.9998,12.357199907302856
Control,6795534,0.0,0.0
Target,1165243,30.0,3.2079999446868896
Target,2298911,0.0,0.0
Control,2804814,5.0,0.1787000000476837
Target,2096890,154.66,-12.821400180459024
Control,6930473,0.0,0.0
Target,1244868,0.0,0.0
Control,2101935,450.76,64.72219997644424
Control,4698094,90.96,15.22950015962124
Target,1166684,0.0,0.0
Control,2695347,0.0,0.0
Control,4727381,480.88,8.291599214076996
Control,1272095,0.0,0.0
Control,3725062,0.0,0.0
Target,2841058,27.96,3.7123999297618866
Control,2467624,1067.26,65.61579789593816
Control,5195623,785.0,148.31039762496948
Target,5366289,20.0,-1.7031999826431274
Control,3885199,15.0,3.659899830818176
Control,3460354,0.0,0.0
Control,5355010,182.22,25.062399864196777
Control,7577630,49.0,19.89319944381714
Target,8539987,0.0,0.0
Control,4067790,47.5,12.674599885940552
Control,3041384,0.0,0.0
Target,1789451,0.0,0.0
Control,3076546,0.0,0.0
Control,1108344,0.0,0.0
Target,7482769,609.36,4.000799059867859
Target,380674,0.0,0.0
Target,1260208,0.0,0.0
Target,5382299,0.0,0.0
Control,3466475,150.0,-59.80500030517578
Control,1656454,790.0,93.13920211791992
Target,6429471,5.0,0.0
Control,7642468,0.0,0.0
Control,6976115,65.0,10.167200028896332
Control,5375220,0.0,0.0
Target,5550173,101.0,15.335200484842062
Target,2810933,0.0,0.0
Control,8116521,0.0,0.0
Control,1876978,266.5,6.6397997457534075
Target,1603956,0.0,0.0
Control,3502456,0.0,0.0
